timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746886789.941892488,4.17%,12.4169%,0%,2%
1746886821.030143895,5.08%,17.1303%,0%,5%
1746886852.114360756,5.66%,16.9839%,4%,5%
1746886883.200214937,4.00%,17.0851%,0%,5%
1746886914.275658887,3.51%,16.7225%,0%,5%
1746886945.358287380,3.48%,16.9448%,0%,5%
1746886976.432658297,3.26%,17.1251%,0%,5%
1746887007.518155890,3.48%,16.9911%,0%,5%
1746887038.600295556,3.58%,16.9304%,0%,5%
1746887069.684298686,3.45%,17.1177%,0%,5%
Total duration: 311s (00:05:11)
