timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746389937.493059094,0.62%,10.9821%,2%,1%
1746389968.577225571,6.42%,14.5279%,72%,28%
1746389999.646692287,6.10%,14.2669%,45%,28%
1746390030.726223530,0.87%,12.0124%,96%,7%
1746390061.801926774,5.12%,12.3899%,93%,7%
1746390092.873725995,12.65%,12.6129%,93%,7%
1746390123.951318351,22.32%,12.6505%,94%,7%
1746390155.023462890,19.66%,12.6632%,94%,7%
1746390186.097349887,3.71%,12.7218%,96%,7%
1746390217.184741313,11.19%,12.9282%,95%,7%
1746390248.261273932,5.64%,12.9271%,96%,7%
1746390279.325188664,8.54%,12.999%,93%,7%
1746390310.396555634,10.86%,12.9759%,95%,7%
1746390341.473080509,14.11%,12.988%,94%,7%
1746390372.554689319,1.62%,12.9912%,94%,7%
1746390403.629468108,4.46%,12.9893%,93%,7%
1746390434.714445076,2.84%,13.0053%,94%,7%
1746390465.787092247,4.38%,12.9982%,93%,7%
1746390496.861491875,6.56%,13.0089%,94%,7%
1746390527.946791198,0.91%,13.0186%,92%,7%
1746390559.030455954,3.38%,13.0048%,94%,7%
1746390590.110210546,12.23%,12.9866%,94%,7%
1746390621.193667132,1.69%,12.9895%,93%,7%
1746390652.267880461,1.19%,13.0049%,93%,7%
1746390683.351873332,2.00%,13.0016%,93%,7%
1746390714.428196969,2.38%,12.9887%,94%,7%
1746390745.515205267,3.65%,12.9972%,93%,7%
1746390776.599078725,3.82%,13.0715%,93%,7%
1746390807.679834174,3.03%,13.0587%,93%,7%
1746390838.759218572,5.81%,13.0232%,95%,7%
1746390869.843892511,1.41%,13.0084%,93%,7%
1746390900.920839237,5.50%,13.0013%,93%,7%
1746390931.997473266,7.11%,12.9837%,94%,7%
1746390963.078955579,7.06%,13.0371%,90%,7%
1746390994.154620049,2.03%,13.0482%,94%,7%
1746391025.230032237,4.68%,13.0443%,95%,7%
1746391056.313222463,0.72%,13.0578%,94%,7%
1746391087.386335919,1.22%,13.0733%,94%,7%
1746391118.468742395,5.06%,13.066%,95%,7%
1746391149.543276365,5.44%,13.0965%,96%,7%
1746391180.629354017,19.60%,13.1396%,92%,7%
1746391211.705011435,10.67%,13.1374%,91%,7%
1746391242.785423951,15.56%,13.1344%,92%,7%
1746391273.854411328,4.82%,13.1545%,80%,7%
1746391304.932866904,10.60%,13.162%,92%,7%
1746391336.003005750,17.37%,13.1613%,94%,7%
1746391367.079604253,24.15%,13.1849%,92%,7%
1746391398.143284335,13.09%,13.1766%,93%,7%
1746391429.206462256,2.81%,13.2663%,91%,7%
1746391460.291100337,8.38%,13.2012%,93%,7%
1746391491.371056538,20.53%,13.1853%,93%,7%
1746391522.440318750,13.12%,13.1558%,94%,7%
1746391553.509031432,20.62%,13.1821%,95%,7%
1746391584.584600954,13.06%,13.1531%,87%,7%
1746391615.649219798,3.25%,13.2014%,89%,7%
1746391646.723772523,4.40%,13.1761%,95%,7%
1746391677.792522965,5.65%,13.1589%,66%,7%
1746391708.876020117,17.45%,13.1521%,89%,7%
1746391739.947290296,21.82%,13.1379%,92%,7%
1746391771.014525106,21.45%,13.1246%,93%,7%
1746391802.078681722,4.91%,13.1357%,94%,7%
1746391833.147253940,9.51%,13.1307%,93%,7%
1746391864.218785970,5.72%,13.1594%,95%,7%
1746391895.284475782,17.35%,13.1475%,94%,7%
1746391926.360046987,19.34%,13.1544%,94%,7%
1746391957.428973099,8.56%,13.1233%,94%,7%
1746391988.496328034,1.91%,13.1569%,85%,7%
1746392019.582161749,12.89%,13.1523%,92%,7%
1746392050.652132230,10.39%,13.0858%,92%,7%
1746392081.725117996,12.47%,13.0952%,94%,7%
1746392112.801662187,2.72%,14.965%,0%,1%
1746392143.880979429,21.19%,15.0393%,0%,1%
1746392174.962979232,17.37%,15.1343%,0%,1%
1746392206.035827300,29.27%,15.2739%,0%,1%
1746392237.110246716,19.47%,15.2683%,0%,1%
1746392268.190063174,30.25%,15.201%,0%,1%
1746392299.274904056,24.69%,15.6073%,0%,1%
1746392330.352837653,30.88%,15.7255%,1%,1%
1746392361.460512443,3.16%,15.4127%,0%,1%
1746392392.540802119,34.41%,15.8519%,0%,1%
1746392423.630916552,38.64%,15.5082%,0%,1%
1746392454.714276256,29.91%,16.0048%,0%,1%
1746392485.789874332,31.22%,16.369%,1%,2%
1746392516.878237321,37.06%,16.3122%,0%,2%
1746392547.951174416,2.91%,15.6475%,0%,2%
1746392579.038872758,9.52%,16.0144%,0%,2%
1746392610.134032574,40.32%,16.7534%,0%,2%
1746392641.211707927,38.84%,16.5799%,0%,2%
1746392672.291064112,42.04%,17.0205%,0%,2%
1746392703.361426217,43.29%,16.8781%,1%,1%
1746392734.435742960,2.97%,16.5841%,0%,1%
1746392765.525056832,39.32%,17.161%,0%,1%
1746392796.606931721,36.19%,16.6496%,0%,1%
1746392827.693560467,3.09%,16.815%,0%,1%
1746392858.780303897,28.03%,16.6999%,0%,1%
1746392889.858776765,41.05%,17.6499%,0%,1%
1746392920.960948604,12.00%,17.8306%,0%,1%
1746392952.046912583,26.02%,16.9858%,0%,2%
1746392983.122948430,36.57%,18.0222%,0%,2%
1746393014.206555939,40.63%,17.7952%,0%,1%
1746393045.279159488,30.04%,17.8869%,0%,1%
1746393076.404523717,14.05%,17.3974%,0%,1%
1746393107.490824748,36.37%,18.3021%,0%,1%
1746393138.604597857,13.42%,18.4706%,0%,1%
1746393169.677786824,3.03%,17.468%,0%,1%
1746393200.755874109,36.66%,18.5647%,0%,1%
1746393231.876124256,3.00%,17.7037%,0%,1%
1746393262.956133616,28.52%,18.465%,0%,1%
1746393294.039259652,2.97%,17.7182%,0%,1%
1746393325.127195559,37.16%,18.763%,0%,1%
1746393356.203503036,26.81%,18.7862%,0%,1%
1746393387.315686683,28.90%,17.9765%,0%,1%
1746393418.397079669,36.99%,19.0587%,0%,1%
1746393449.477155734,29.62%,19.0442%,0%,1%
1746393480.568583360,24.96%,18.9441%,2%,1%
