timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746821971.083668927,0.16%,7.22287%,0%,1%
1746822002.227812774,0.09%,7.12612%,0%,1%
1746822033.313343710,0.28%,7.0053%,0%,1%
1746822064.392442944,1.60%,8.83076%,9%,1%
1746822095.479997273,3.66%,11.745%,0%,1%
1746822126.565788817,2.94%,14.8892%,0%,1%
1746822157.655841402,99.59%,19.2738%,0%,1%
1746822188.818345127,99.35%,19.3876%,0%,1%
1746822220.026207070,96.64%,19.2986%,0%,1%
1746822251.196400275,99.41%,19.6167%,0%,1%
1746822282.367536358,98.13%,19.9395%,0%,1%
1746822313.552343558,88.42%,19.8164%,0%,1%
1746822344.762369428,87.61%,19.7953%,1%,1%
1746822375.941407198,91.66%,19.8218%,1%,1%
1746822407.121462547,99.88%,19.8486%,0%,1%
1746822438.323339186,99.53%,19.819%,0%,1%
1746822469.526360200,99.50%,19.7681%,0%,1%
1746822500.720403750,99.53%,19.9023%,0%,1%
1746822531.904509404,99.66%,20.0669%,0%,1%
1746822563.089424857,99.91%,20.1618%,0%,1%
1746822594.278899368,95.25%,20.1905%,0%,1%
1746822625.371359026,86.04%,20.2318%,0%,1%
1746822656.624038521,99.47%,20.2282%,0%,1%
1746822687.813334178,88.16%,20.2541%,2%,1%
1746822718.934363530,99.81%,20.2426%,0%,1%
1746822750.099367144,90.64%,20.3531%,0%,1%
1746822781.271370734,89.40%,20.2878%,0%,1%
1746822812.465664462,99.91%,20.3316%,0%,1%
1746822843.665894123,99.56%,20.374%,0%,1%
1746822874.856685574,99.53%,20.4072%,0%,1%
1746822906.045366908,91.67%,20.3991%,0%,1%
1746822937.210312844,97.51%,21.2973%,3%,1%
1746822968.357802355,99.19%,22.5481%,0%,2%
1746822999.532622516,99.10%,22.5952%,1%,2%
1746823030.747671386,96.61%,22.9367%,0%,2%
1746823061.951986978,96.47%,23.0835%,0%,2%
1746823093.139582927,96.38%,23.1116%,0%,2%
1746823124.349596965,95.98%,23.1499%,0%,2%
1746823155.553351184,86.74%,23.2366%,0%,2%
1746823186.672632619,70.66%,23.2161%,0%,2%
1746823217.801462789,96.79%,23.2563%,0%,2%
1746823248.969422566,94.96%,23.4495%,0%,2%
1746823280.147304009,74.38%,24.1521%,27%,2%
1746823311.340681249,98.03%,24.1098%,0%,2%
1746823342.575933955,97.21%,24.1943%,10%,2%
1746823373.740744917,99.13%,23.5844%,8%,2%
1746823404.934478335,98.94%,24.1185%,2%,2%
1746823436.151769128,83.93%,24.1219%,0%,2%
1746823467.322947661,99.03%,24.3126%,8%,2%
1746823498.516386477,91.45%,24.6693%,1%,2%
1746823529.682895864,85.15%,24.4014%,21%,2%
1746823560.885575458,99.56%,24.5805%,0%,2%
1746823592.105966115,56.81%,24.5456%,2%,2%
1746823623.290367654,80.49%,24.7415%,0%,2%
1746823654.471395997,89.87%,24.6086%,0%,2%
1746823685.655904997,67.21%,24.6356%,0%,2%
1746823716.755024514,68.28%,24.5983%,0%,2%
1746823747.903741026,2.04%,15.7029%,0%,2%
1746823778.992196886,99.72%,17.0121%,0%,2%
1746823810.174496012,99.38%,17.347%,0%,2%
1746823841.345990177,99.78%,17.4965%,1%,2%
1746823872.498351313,3.19%,12.109%,1%,2%
1746823903.584730910,55.56%,13.7904%,0%,2%
1746823934.753345465,98.45%,13.7549%,0%,2%
1746823965.941860818,81.89%,13.7346%,0%,2%
1746823997.024232699,18.70%,14.7144%,7%,2%
1746824028.102478463,6.26%,14.4069%,0%,2%
1746824059.188527069,31.25%,15.5693%,0%,2%
1746824090.404312820,12.15%,15.6035%,0%,2%
1746824121.491789194,10.90%,15.7604%,1%,2%
1746824152.573388476,55.75%,15.4132%,9%,2%
1746824183.778471036,3.48%,16.2313%,6%,2%
1746824214.862314347,15.55%,16.1066%,0%,2%
1746824245.965689795,3.09%,15.9674%,1%,2%
1746824277.045211120,5.90%,16.0383%,0%,2%
1746824308.133481082,5.03%,16.1998%,0%,2%
1746824339.220554981,3.03%,16.3464%,1%,2%
1746824370.296408889,2.72%,16.1563%,0%,2%
1746824401.382390039,3.47%,15.7326%,0%,2%
1746824432.471483304,48.88%,16.6738%,0%,2%
1746824463.677174486,3.50%,16.8304%,0%,2%
1746824494.768465402,24.41%,18.0816%,4%,2%
1746824525.838777589,21.21%,17.1508%,9%,2%
1746824556.922454748,3.79%,15.4096%,6%,2%
1746824588.008079880,3.54%,16.1731%,11%,2%
1746824619.102120613,3.25%,15.2565%,0%,2%
1746824650.181769237,3.41%,16.3064%,5%,2%
1746824681.268644593,23.09%,16.9771%,0%,1%
